,symbol,name,foreign_invest,foreign_proprietor,invest_trust,proprietor,total
0,00715L,期街口布蘭特正2 ,"13,753,000",0,0,"17,219,458","30,972,458"
1,2303,聯電            ,"27,062,970",0,"-1,263,380","2,168,061","27,967,651"
2,00665L,富邦恒生國企正2 ,"5,034,000",0,0,"7,030,879","12,064,879"
3,00632R,元大台灣50反1   ,"16,143,000",0,0,"-4,147,204","11,995,796"
4,2313,華通            ,"3,761,942",0,"5,101,000","2,799,275","11,662,217"
5,2891,中信金          ,"10,640,345",0,"-103,000","-14,190","10,523,155"
6,2405,輔信            ,"9,501,900",0,0,"-5,000","9,496,900"
7,3715,定穎投控        ,"3,732,030",0,"4,404,000","232,093","8,368,123"
8,2355,敬鵬            ,"7,927,100",0,0,"387,395","8,314,495"
9,2401,凌陽            ,"3,702,995",0,0,"2,332,438","6,035,433"
10,3545,敦泰            ,"6,094,311",0,0,"-251,007","5,843,304"
11,00642U,期元大S&P石油   ,"667,829",0,0,"4,513,282","5,181,111"
12,2408,南亞科          ,"3,618,310",0,"4,175","681,222","4,303,707"
13,00900,富邦特選高股息30,"2,435,900",0,0,"1,833,465","4,269,365"
14,6116,彩晶            ,"4,024,000",0,0,"51,210","4,075,210"
15,2382,廣達            ,"5,502,224",0,"-1,235,000","-235,871","4,031,353"
16,00753L,中信中國50正2   ,"-424,000",0,0,"4,415,641","3,991,641"
17,00650L,復華香港正2     ,"2,161,000",0,0,"1,610,203","3,771,203"
18,2388,威盛            ,"2,584,215",0,"452,000","634,932","3,671,147"
19,2329,華泰            ,"3,539,000",0,0,"33,653","3,572,653"
20,00637L,元大滬深300正2  ,"5,569,000",0,0,"-2,025,798","3,543,202"
21,3005,神基            ,"3,090,275",0,"-3,730","298,302","3,384,847"
22,00881,國泰台灣5G+     ,"154,000",0,"1,687,000","1,511,508","3,352,508"
23,00932,兆豐永續高息等權,"1,877,000",0,0,"1,464,607","3,341,607"
24,00893,國泰智能電動車  ,"427,000",0,0,"2,731,000","3,158,000"
25,2369,菱生            ,"2,915,000",0,0,"1,090","2,916,090"
26,2801,彰銀            ,"2,811,652",0,0,"-29,000","2,782,652"
27,2324,仁寶            ,"2,609,530",0,"-10,736","75,162","2,673,956"
28,2884,玉山金          ,"2,556,226",0,0,"1,448","2,557,674"
29,2886,兆豐金          ,"2,712,568",0,"-117,000","-102,410","2,493,158"
30,5258,虹堡            ,"1,145,000",0,"1,123,000","200,285","2,468,285"
31,1504,東元            ,"2,393,000",0,0,"52,169","2,445,169"
32,2812,台中銀          ,"2,404,618",0,0,"-8,000","2,396,618"
33,4746,台耀            ,"135,000",0,"2,171,000","68,350","2,374,350"
34,6139,亞翔            ,"1,945,000",0,0,"372,605","2,317,605"
35,6282,康舒            ,"2,388,990",0,"2,000","-100,657","2,290,333"
36,3059,華晶科          ,"2,177,000",0,0,"102,593","2,279,593"
37,1524,耿鼎            ,"2,187,000",0,0,"60,000","2,247,000"
38,3017,奇鋐            ,"1,624,398",0,"95,000","441,028","2,160,426"
39,2845,遠東銀          ,"2,156,684",0,0,"-28,321","2,128,363"
40,2367,燿華            ,"2,159,655",0,0,"-37,462","2,122,193"
41,2890,永豐金          ,"2,368,972",0,"-243,000","-29,000","2,096,972"
42,3682,亞太電          ,"2,073,350",0,0,0,"2,073,350"
43,3231,緯創            ,"2,378,286",0,"-1,133,000","806,787","2,052,073"
44,2609,陽明            ,"1,995,354",0,0,"-3,001","1,992,353"
45,2330,台積電          ,"1,841,078",0,"-125,436","269,750","1,985,392"
46,2485,兆赫            ,"1,915,000",0,0,"30,036","1,945,036"
47,6770,力積電          ,"1,580,702",0,"-96,000","413,783","1,898,485"
48,2412,中華電          ,"1,886,962",0,"34,015","-36,000","1,884,977"
49,3406,玉晶光          ,"1,788,500",0,0,"51,660","1,840,160"
50,3062,建漢            ,"1,646,000",0,0,"-3,116","1,642,884"
51,00830,國泰費城半導體  ,"710,000",0,0,"914,000","1,624,000"
52,2331,精英            ,"1,403,000",0,0,"179,412","1,582,412"
53,3013,晟銘電          ,"1,219,000",0,0,"360,496","1,579,496"
54,00902,中信電池及儲能  ,"-595,000",0,0,"2,045,448","1,450,448"
55,4906,正文            ,"1,530,942",0,"-8,353","-108,857","1,413,732"
56,2451,創見            ,"1,462,000",0,0,"-56,422","1,405,578"
57,2353,宏碁            ,"1,114,430",0,"330,960","-41,800","1,403,590"
