,name,symbol,currentPrice,r,s,m,v,PE,revenueGrowth,operatingCashflow,freeCashflow,marketValue
0,台泥,1101.TW,31.75,0.00010182074076015066,24.15977718272159,0.00012011935920349119,0.019364974549338457,20.15480111284544,0.099,18139961344,-9740116992,226573722112.0
0,亞泥,1102.TW,39.2,0.0002087773170582786,27.928087342082275,0.00020706163287425713,0.018753623522606795,7.813872940376991,-0.137,4972635136,2690240512,139025152000.0
0,嘉泥,1103.TW,18.1,0.00011101159967336705,13.715810232368883,0.00012419888368790855,0.017813645852318538,29.213929163978964,0.409,-321508000,-348988128,11925981689.6
0,環泥,1104.TW,25.5,0.0003024276866249723,14.422851696913817,0.00031519802921106134,0.01752354987839889,5.691984968966328,0.098,1358996992,477275360,17167034112.0
0,幸福,1108.TW,13.8,4.6865445510864154e-05,8.483067898611738,6.029498669473875e-05,0.018514000459405024,5.053057590538184,0.319,599665024,-78199248,5585384179.200001
0,信大,1109.TW,17.55,7.416765074348997e-06,13.633517197446723,1.9137700630824726e-05,0.014214500320256326,6.921536726257367,-0.039,580689024,-28604000,5987340590.400001
0,東泥,1110.TW,18.45,0.00010104517954343298,12.226625294374614,0.00011286040064009384,0.018550057836399323,24.981454912522736,0.99,-104569000,-1501946496,10514414707.199999
0,味王,1203.TW,42.0,0.00021703558404120862,19.72314418742058,0.00022855985064521418,0.01651910778134427,7.663832527732001,0.066,433212992,76696248,9983652000.0
0,大成,1210.TW,51.9,0.0003985723161674586,19.939978412377254,0.00041766934913849125,0.017427078699860835,5.735625240366407,0.019,8133455872,3865337344,43892193715.2
0,大飲,1213.TW,7.19,-3.801788290300636e-05,11.742723864527552,-3.202241757217618e-05,0.021957560524336305,-7.202469589551447,-0.706,11197000,16816376,407116494.0
0,卜蜂,1215.TW,93.7,0.0004222081487626229,26.069183711869353,0.0004349879649459775,0.018887581771120765,4.390068699285576,0.084,3466127104,1472746880,27621917449.600002
0,統一,1216.TW,68.8,0.00028111647178867864,38.15618615931549,0.0002850527969126368,0.017498035080765445,11.315821027073829,0.053,62360616960,43781353472,390922964992.0
0,愛之味,1217.TW,12.05,2.069347221366222e-05,8.806421034263595,3.811709022890183e-05,0.018644439919637417,13.348392724504583,0.053,217628992,17367124,5958881553.6
0,泰山,1218.TW,20.55,0.0001502016090467299,12.51294505790656,0.00016739562679439824,0.02091507574529134,1.1769127012349605,-0.043,-928705024,-505481760,9993876000.0
